articleLink,articleTitle
https://news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LnRoZW5ld3MuY29tLnBrL2xhdGVzdC81NDY1NzItamFubmF0LXp1YmFpci1jbGFpbXMtdG8td2luLWluZGlhcy1tb3N0LXBvcHVsYXItdGVlbmFnZXItZmFjZS1hd2FyZNIBaWh0dHBzOi8vd3d3LnRoZW5ld3MuY29tLnBrL2FtcC81NDY1NzItamFubmF0LXp1YmFpci1jbGFpbXMtdG8td2luLWluZGlhcy1tb3N0LXBvcHVsYXItdGVlbmFnZXItZmFjZS1hd2FyZA?hl=en-IN&gl=IN&ceid=IN%3Aen,Jannat Zubair claims to win Indias Most Popular Teenager Face award
https://news.google.com/./articles/CBMiqwFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS90di9uZXdzL2hpbmRpL2phbm5hdC16dWJhaXItdHVybnMtMTgtY2VsZWJyYXRlcy1iaXJ0aGRheS13aXRoLXNvbWktc2FiYS1raGFuLXJlZW0tc2hlaWtoLXZpa2FzLWd1cHRhLWFuZC1vdGhlcnMvcGhvdG9zdG9yeS83MDkxMjIzOS5jbXPSAagBaHR0cHM6Ly9tLnRpbWVzb2ZpbmRpYS5jb20vdHYvbmV3cy9oaW5kaS9qYW5uYXQtenViYWlyLXR1cm5zLTE4LWNlbGVicmF0ZXMtYmlydGhkYXktd2l0aC1zb21pLXNhYmEta2hhbi1yZWVtLXNoZWlraC12aWthcy1ndXB0YS1hbmQtb3RoZXJzL2FtcF9ldHBob3Rvc3RvcnkvNzA5MTIyMzkuY21z?hl=en-IN&gl=IN&ceid=IN%3Aen,"Jannat Zubair turns 18; celebrates birthday with Somi-Saba Khan, Reem Sheikh, Vikas Gupta and others"
https://news.google.com/./articles/CAIiEKipjfhbwK_5ZM0N6Zf17ikqGQgEKhAIACoHCAowzrL9CjDC7vQCMJHmnQY?hl=en-IN&gl=IN&ceid=IN%3Aen,Jannat Zubair Rehmani's younger brother Ayaan tying the lace of her footwear is cute
https://news.google.com/./articles/CBMihwFodHRwczovL3d3dy5pd21idXp6LmNvbS9kaWdpdGFsL2NlbGVicml0aWVzLWRpZ2l0YWwvdGlrdG9rLXN0YXJzLWphbm5hdC16dWJhaXItcmVobWFuaS1hbmQtZmFpc3VzLW11c2ljLXZpZGVvLWZpcnN0LWxvb2stb3V0LzIwMTkvMDYvMDHSAYsBaHR0cHM6Ly93d3cuaXdtYnV6ei5jb20vZGlnaXRhbC9jZWxlYnJpdGllcy1kaWdpdGFsL3Rpa3Rvay1zdGFycy1qYW5uYXQtenViYWlyLXJlaG1hbmktYW5kLWZhaXN1cy1tdXNpYy12aWRlby1maXJzdC1sb29rLW91dC8yMDE5LzA2LzAxL2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,TikTok stars Jannat Zubair Rehmani and Faisu’s music video first look out
https://news.google.com/./articles/CAIiEIUmCKihGfE7z6OTPmOlxHsqGQgEKhAIACoHCAowjub-CjDuqfcCMMGF4wU?hl=en-IN&gl=IN&ceid=IN%3Aen,Bigg Boss 12: Khan sisters Somi & Saba have a gala time with Jannat Zubair Rehmani; View Pics
https://news.google.com/./articles/CBMi3AFodHRwczovL3d3dy5zcG90Ym95ZS5jb20vdHJlbmRpbmcvdHJlbmRpbmctbmV3cy90aWt0b2stc3RhcnMtcml5YXotYWx5LWphbm5hdC16dWJhaXItbXItZmFpc3UtaW4tdHJvdWJsZS1vdmVyLXRpa3Rvay1iYW4taW4taW5kaWEtY291bGQtbG9zZS1vdmVyLTEwMC1taWxsaW9uLWZvbGxvd2Vycy13aGVuLWNoaW5lc2UtYXBwLWdvZXMta2FwdXQvNWVmYWZjNmQ2M2E0NTYyOWU1YjZiZDEz0gHgAWh0dHBzOi8vd3d3LnNwb3Rib3llLmNvbS9hbXAvdHJlbmRpbmcvdHJlbmRpbmctbmV3cy90aWt0b2stc3RhcnMtcml5YXotYWx5LWphbm5hdC16dWJhaXItbXItZmFpc3UtaW4tdHJvdWJsZS1vdmVyLXRpa3Rvay1iYW4taW4taW5kaWEtY291bGQtbG9zZS1vdmVyLTEwMC1taWxsaW9uLWZvbGxvd2Vycy13aGVuLWNoaW5lc2UtYXBwLWdvZXMta2FwdXQvNWVmYWZjNmQ2M2E0NTYyOWU1YjZiZDEz?hl=en-IN&gl=IN&ceid=IN%3Aen,"TikTok Stars Riyaz Aly, Jannat Zubair, Mr Faisu In Trouble Over TikTok Ban In India? Could Lose Over 100 Million Followers When Chinese App Goes Kaput"
https://news.google.com/./articles/CAIiEJi-KxBcueypny0g8741X6MqGQgEKhAIACoHCAowioaGCzD-vYMDMLfKsQY?hl=en-IN&gl=IN&ceid=IN%3Aen,Bigg Boss 13: Vindu Dara Singh Says Jannat Zubair Supports Sidharth; Fans Dig Up A Video Where She's Going GAGA Over Asim
https://news.google.com/./articles/CBMiywFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS90di9uZXdzL2hpbmRpL3RlZW5hZ2UtYWN0cmVzcy1qYW5uYXQtenViYWlyLXJlaG1hbmktYXNrZWQtdG8tc2hvb3QtYS1raXNzaW5nLXNjZW5lLXdpdGgtY28tc3Rhci1pbi10dS1hYXNoaXF1aS1tb3RoZXItbGFzaGVzLW91dC1hdC10aGUtbWFrZXJzL2FydGljbGVzaG93LzYzMjg5OTYyLmNtc9IBxgFodHRwczovL20udGltZXNvZmluZGlhLmNvbS90di9uZXdzL2hpbmRpL3RlZW5hZ2UtYWN0cmVzcy1qYW5uYXQtenViYWlyLXJlaG1hbmktYXNrZWQtdG8tc2hvb3QtYS1raXNzaW5nLXNjZW5lLXdpdGgtY28tc3Rhci1pbi10dS1hYXNoaXF1aS1tb3RoZXItbGFzaGVzLW91dC1hdC10aGUtbWFrZXJzL2FtcF9hcnRpY2xlc2hvdy82MzI4OTk2Mi5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen,Teenage actress Jannat Zubair Rehmani asked to shoot a kissing scene with co-star in Tu Aashiqui; mother
https://news.google.com/./articles/CAIiEKfrV0FsLtwz1k0PZ0J_YF0qMwgEKioIACIQNOSU--BdxeOU9EKlkyXaNioUCAoiEDTklPvgXcXjlPRCpZMl2jYwhOrEBg?hl=en-IN&gl=IN&ceid=IN%3Aen,"Jannat Zubair, Gurmeet Chaudhary, Sidharth Nigam and others to feature in a music video titled ‘Phir Hasenge’"
https://news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LnRlbGx5Y2hha2thci5jb20vdHYvdHYtbmV3cy93aGVuLWphbm5hdC16dWJhaXItZGVmZWF0ZWQtYXZuZWV0LWthdXItMTkxMDAy0gFaaHR0cHM6Ly93d3cudGVsbHljaGFra2FyLmNvbS90di90di1uZXdzL3doZW4tamFubmF0LXp1YmFpci1kZWZlYXRlZC1hdm5lZXQta2F1ci0xOTEwMDI_YW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,When Jannat Zubair DEFEATED Avneet Kaur!
